,Bharthal,Delhi_Amberhai_D,Delhi_ChhotialPalam_D,Delhi_Lajwanti,Delhi_SubhashNagar_D,Delhi_MyapuriPhase1_D,Delhi_MotiNgr_D,Delhi_Shadipur_D,Delhi_Karolbagh_D,Gurgaon_Nathupur_D,Gurgaon_Sector28_D,Gurgaon_MotiVhr_ACH,Gurgaon_Central_D_17,Gurgaon_Central_D_16,Delhi_Samlkha_D,Gurgaon_Central_D_15,Delhi_Matiala_D,Delhi_Vikaspri_DC,Delhi_Peeragarhi_D,Delhi_Mundka_D,Delhi_BudhVihar_D,Delhi_Najafgarh_D,Delhi_SaraswatiVihar_D,Delhi_Rohini_D,Delhi_Barwala,Delhi_KhanpurColony_D,Delhi_shahpurJat,Delhi_Mohammadpur,Delhi_MalviyaNagar_NDC,Gurgaon_Kadipur,Gurgaon_Hasanpur_D,Gurgaon_BadshahpurPPN_D,Gurgaon_Wazirabad_D,Delhi_JaitpurRd_D,Delhi_Mehrauli_D,Delhi_Ghitorni_D,Delhi_Okhla_D,Delhi_OkhlaPh2_D,Delhi_MyurVhrPhs3_D,Delhi_Patparganj_D,Delhi_Bhogal,Delhi_Daryaganj_D,Delhi_KhurejiKhas_D,Delhi_SDMOfcBurari_D,Delhi_KalyanVhr_D,Delhi_AshkVihr_D,Delhi_Jahangirpuri_D,Delhi_DilshdGrdn_D,Ghaziabad_Sahibabad_D,Delhi_DspnsryChwk_D,Ghaziabad_RjndrNgr_DC
Delhi_Daryaganj_D,30.1 km,27.8 km,23.0 km,21.6 km,20.7 km,20.6 km,22.3 km,10.9 km,6.7 km,30.9 km,31.3 km,32.9 km,33.1 km,29.8 km,24.1 km,34.3 km,27.0 km,24.9 km,25.9 km,31.7 km,27.8 km,34.2 km,21.9 km,23.3 km,26.1 km,16.6 km,14.4 km,14.2 km,20.2 km,40.4 km,46.0 km,41.3 km,37.4 km,21.9 km,19.2 km,22.2 km,15.8 km,15.9 km,16.5 km,14.7 km,9.1 km,1 m,,,,,,,,,
Delhi_KhurejiKhas_D,34.9 km,32.6 km,27.9 km,26.4 km,25.6 km,25.5 km,28.9 km,18.1 km,15.1 km,35.8 km,36.2 km,37.7 km,37.9 km,34.7 km,28.9 km,39.1 km,31.9 km,36.4 km,29.8 km,35.6 km,31.7 km,39.0 km,25.8 km,27.2 km,30.0 km,21.9 km,19.5 km,20.6 km,26.6 km,45.3 km,50.9 km,46.1 km,42.2 km,21.5 km,27.0 km,30.0 km,20.2 km,20.3 km,7.3 km,4.2 km,12.8 km,6.2 km,1 m,,,,,,,,
Delhi_SDMOfcBurari_D,43.4 km,32.7 km,29.6 km,25.2 km,20.8 km,21.2 km,16.8 km,18.8 km,17.7 km,44.3 km,44.7 km,46.2 km,46.4 km,43.2 km,37.4 km,47.6 km,27.3 km,24.3 km,17.7 km,23.5 km,19.6 km,32.8 km,13.7 km,15.1 km,17.9 km,33.4 km,31.2 km,30.6 km,36.9 km,53.8 km,59.4 km,54.6 km,50.7 km,37.2 km,36.5 km,47.8 km,35.9 km,36.0 km,33.3 km,24.2 km,25.9 km,16.2 km,21.3 km,1 m,,,,,,,
Delhi_KalyanVhr_D,31.5 km,25.9 km,26.5 km,20.0 km,15.6 km,16.0 km,11.6 km,9.1 km,6.1 km,32.4 km,32.8 km,34.4 km,34.6 km,31.3 km,25.5 km,35.8 km,21.4 km,20.5 km,14.0 km,19.8 km,15.9 km,26.9 km,9.0 km,12.3 km,18.9 km,26.9 km,20.6 km,18.8 km,25.8 km,41.9 km,47.5 km,42.8 km,38.9 km,30.7 km,26.2 km,36.0 km,29.4 km,29.5 km,26.8 km,17.7 km,19.4 km,9.7 km,14.8 km,8.4 km,1 m,,,,,,
Delhi_AshkVihr_D,36.5 km,24.2 km,24.8 km,18.3 km,13.9 km,14.3 km,9.9 km,7.2 km,5.5 km,37.4 km,37.8 km,39.3 km,39.5 km,36.3 km,30.5 km,40.7 km,19.7 km,17.7 km,11.4 km,17.3 km,14.6 km,25.2 km,7.6 km,10.9 km,15.5 km,25.1 km,20.8 km,23.7 km,32.0 km,46.9 km,52.5 km,47.7 km,43.8 km,33.3 km,32.4 km,40.9 km,24.9 km,25.0 km,29.4 km,20.6 km,17.2 km,12.3 km,17.5 km,11.8 km,2.6 km,1 m,,,,,
Delhi_Jahangirpuri_D,32.6 km,26.5 km,23.5 km,23.5 km,17.0 km,17.5 km,13.1 km,15.0 km,14.3 km,40.5 km,40.9 km,42.5 km,42.7 km,39.4 km,33.6 km,43.9 km,21.2 km,18.2 km,11.6 km,17.4 km,13.5 km,26.7 km,7.6 km,9.0 km,11.8 km,33.3 km,30.6 km,26.8 km,35.2 km,50.0 km,55.6 km,50.9 km,47.0 km,37.2 km,35.5 km,44.1 km,35.9 km,36.0 km,33.3 km,24.2 km,25.9 km,16.2 km,21.3 km,5.9 km,8.3 km,7.0 km,1 m,,,,
Delhi_DilshdGrdn_D,38.4 km,36.1 km,31.3 km,29.8 km,23.3 km,23.8 km,21.8 km,19.0 km,14.9 km,39.2 km,39.6 km,41.2 km,41.4 km,38.1 km,32.4 km,42.6 km,40.6 km,37.6 km,30.9 km,36.8 km,32.8 km,46.0 km,26.9 km,28.3 km,31.1 km,26.1 km,23.7 km,24.7 km,30.8 km,48.7 km,54.3 km,49.6 km,45.7 km,24.2 km,31.1 km,34.2 km,22.9 km,23.0 km,9.5 km,6.4 km,17.0 km,10.8 km,6.5 km,21.0 km,13.6 km,15.9 km,21.1 km,1 m,,,
Ghaziabad_Sahibabad_D,43.9 km,41.7 km,36.9 km,38.5 km,36.2 km,36.6 km,37.7 km,23.9 km,19.8 km,44.8 km,45.2 km,46.7 km,47.0 km,43.7 km,37.9 km,48.2 km,40.9 km,42.6 km,35.9 km,41.7 km,37.8 km,48.1 km,31.9 km,33.3 km,36.1 km,26.5 km,24.2 km,25.2 km,31.2 km,54.3 km,59.9 km,55.2 km,51.3 km,28.5 km,31.6 km,34.7 km,27.2 km,27.3 km,9.0 km,7.7 km,17.5 km,19.8 km,8.8 km,26.0 km,18.6 km,20.9 km,26.1 km,5.8 km,1 m,,
Delhi_DspnsryChwk_D,35.7 km,33.4 km,28.7 km,31.0 km,26.5 km,27.0 km,22.5 km,16.3 km,12.2 km,36.6 km,37.0 km,38.5 km,38.8 km,35.5 km,29.7 km,40.0 km,32.8 km,30.1 km,23.4 km,29.3 km,25.3 km,38.5 km,19.5 km,20.8 km,23.6 km,26.3 km,23.9 km,26.0 km,29.7 km,46.1 km,51.7 km,47.0 km,43.1 km,26.9 km,29.5 km,32.5 km,25.6 km,25.7 km,17.4 km,14.3 km,18.2 km,8.9 km,11.0 km,13.5 km,9.7 km,12.5 km,13.6 km,8.1 km,14.0 km,1 m,
Ghaziabad_RjndrNgr_DC,50.8 km,48.5 km,43.8 km,45.3 km,43.0 km,43.5 km,32.2 km,26.2 km,22.1 km,51.6 km,52.0 km,53.6 km,53.8 km,50.5 km,44.8 km,55.0 km,47.8 km,39.8 km,33.1 km,38.9 km,35.0 km,55.0 km,29.1 km,30.5 km,33.3 km,33.4 km,31.0 km,32.0 km,38.1 km,61.1 km,66.7 km,62.0 km,58.1 km,35.3 km,38.5 km,41.5 km,34.0 km,34.1 km,15.9 km,15.8 km,24.3 km,26.6 km,18.5 km,23.2 km,20.8 km,23.1 km,23.3 km,8.1 km,6.1 km,12.6 km,1 m
