center_code,center_name,hq_name,city,facility,status,region,state,country,property_lat,property_long,property_id,center_address,center_phone,center_pincode,enable_bag_guide,is_bagging_allowed,sort_code,region1,parent_center,property_facility_id
IND000000AAK,Akola_Cloth3PL_D,Akola_Cloth3PL_D (Maharashtra),Akola,DC,Inactive,West,Maharashtra,India,20.71,76.996475,7b46be08-1328-46cc-beb3-d1bc9475bb79,"Cityland Express Courier

102, First Floor, Heera Panna Complex, Above chaaya Handloom, Old Cloth Market, Akola. 444001",,444001,FALSE,TRUE,AK/CPD,West,Akola_Gaurkshn_I,2cca0d2d-1413-403f-88c0-880090eb2cf8
IND411038AAA,Pune PNQ,Pune PNQ (Maharashtra),Pune,DC,Inactive,West,Maharashtra,India,18.495338,73.79865,22036c35-240d-4db7-94af-22e9e696e0f7,"Shop no 1 & 2 , kanchan gouri appt . Shivthirth nagar pune 411038",,411038,FALSE,FALSE,PNQ/PNQ,West,Pune_Sudhwadi_GW,1c29f937-13e9-4941-a69e-55c91486e0e1
INMHALIV,Malegaon_PoliceStatn_DPP,Malegaon_PoliceStatn_DPP (Maharashtra),Washim,DC,Active,West,Maharashtra,India,20.22981,77.007904,76a89489-b42c-4554-96b7-b51a9080a7ef,"Siddivanayk Complex Shop No 07, Akola Rd ,Malegaon ,Maharashtra-444503   code 444503 MH",,444503,FALSE,TRUE,MAL/POL,West,Akola_Gaurkshn_I,2cca0d2d-1413-403f-88c0-880090eb2cf8
IND411016AAA,Pune_Shivajinagar,Pune_Shivajinagar (Maharashtra),Pune,DC,Inactive,West,Maharashtra,India,18.528515,73.8413,7fdf98e6-d2d6-4147-83b4-07f9f1716d2b,"S.NO.1122/1, Final Plot, NO 501, Jagtap Dairy, Model Colony, Shivajinagar, Pune- 411016",,411016,FALSE,FALSE,PNQ/SHI,West,Pune_Sudhwadi_GW,1c29f937-13e9-4941-a69e-55c91486e0e1
IND533308AAB,Mandapeta_Mainrd_D,Mandapeta_Mainrd_D (Andhra Pradesh),Mandapeta,DC,Inactive,South,Andhra Pradesh,India,16.87494,81.92916,59ce5712-ba09-458c-8ea5-86b4e69951b1,"D-no 4-1-66/6 , main road vvs chowdary petrol bunk opp,mandapeta-533308",9700301179,533308,FALSE,TRUE,MND/MRD,South,Rajahmundry_Rajanagaram_H,7d0801e5-658e-488a-90ad-6c0762a21f61
INMPAPVN,Tarana_Ward11_D,Tarana_Ward11_D (Madhya Pradesh),Tarana,DC,Active,West,Madhya Pradesh,India,23.330082,76.03919,72280c17-8664-4663-acd8-f6207c4f8bb1,"Totla Marg Near by Maruti Suzuki Showroom,Tarana-456665",9893436060,456665,FALSE,TRUE,TAR/WAR,West,Indore_Manglaya_H,096041a0-d9b1-4161-9adb-94b7b675ea02
IND443301AAC,Mehkar_Central_DPP_2,Mehkar_Central_DPP_2 (Maharashtra),Mehkar,DC,Inactive,West,Maharashtra,India,20.149462,76.56255,1cbe0207-07d9-4514-ab5f-d1cb28e05707,"Shree maroti mandir complex,Cotton market Road, Nr. Godawari Agency, Nr. Bank of Maharashtra. Mehkar",,443301,FALSE,FALSE,MHK/CRL,West,Akola_Gaurkshn_I,2cca0d2d-1413-403f-88c0-880090eb2cf8
INMNAAAF,Imphal_PongLmbi_D,Imphal_PongLmbi_D (Manipur),Imphal,DC,Inactive,East,Manipur,India,24.815529,93.959145,493cae85-0981-473d-a7b1-f7ed759457d1,Pong Lambi Porompat near JNIMS Hospital  Imphal East-795005,7005780693,795005,FALSE,TRUE,IMP/PLB,East,Imphal_Thangjam_I,0af040dc-d234-4b03-b1f2-ea488d53ae3a
INAPAAOW,Kathipudi_SakhavrmRd_DPP,Kathipudi_SakhavrmRd_DPP (Andhra Pradesh),Kathipudi,DC,Inactive,South,Andhra Pradesh,India,17.24492,82.337975,9d7cb561-948a-4553-9774-b768860bf119,"Door No-6-144,Sankhavaram Road, kathipudi, east godavari,Kathipudi, Andhra Pradesh 533444",,533444,FALSE,TRUE,KTP/SHV,South,Rajahmundry_Rajanagaram_H,7d0801e5-658e-488a-90ad-6c0762a21f61
INTSARSL,Hyderabad_PramukhNagar_SF,Hyderabad_PramukhNagar_SF (Telangana),Patancheru,SC,Active,South,Telangana,India,17.544855,78.20944,632f4d29-d94b-423f-8b07-8a0a52f8ff4f,Beera complex 1&2 Maruthi Nagar Isnapur Village Near GOVT Gurukul Hostel Patancheru 502307,,502307,FALSE,TRUE,HYD/RAM,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
INORANZG,Jagatpur_CanalRd_D,Jagatpur_CanalRd_D (Orissa),Cuttack,DC,Active,East,Orissa,India,20.50038,85.93663,0a0e9266-54bc-4b65-8b48-e6336653def0,"Emamnagar, Madhubabu chaka jagatpur, Cuttack Odisha, Pin - 754021",9348131390,754021,FALSE,TRUE,JGP/CAN,East,Bhubaneshwar_Central_H_6,63b85367-4bfe-40a1-ac62-e2360b5e90d3
IN500034A1D,Hyderabad_Jublehills_D,Hyderabad_Jublehills_D (Telangana),Hyderabad,DC,Inactive,South,Telangana,India,17.416504,78.414566,c71f03c2-58d5-4aaf-82d2-f3ddfcc58092,"#8-2-293/82/J/B/7,Road no.92,Journalist B colony,Jublihills,Hyderabad-500033",9989256124,500034,FALSE,FALSE,HYD/JUBL,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
IND500056A1A,Hyderabad_Malkajgiri_D,Hyderabad_Malkajgiri_D (Telangana),Hyderabad,DC,Active,South,Telangana,India,17.474293,78.536674,5568c4b4-9b12-4b1a-b337-056fd6275216,"#29-105/4/1,New vidya nagar,Neredmet,Hyderabad-500056",8977871769,500056,FALSE,TRUE,HYD/MLK,South,Hyderabad_Shamshbd_H,5b4f329f-190e-4168-863e-8509d8d22922
IN431111A1A,Phulambri_Kanhori_DPP,Phulambri_Kanhori_DPP (Maharashtra),Phulambri,DC,Inactive,West,Maharashtra,India,20.088724,75.420975,f181e9d2-8bba-4372-8100-0922bb712539,Shop Number 42 machli market babra road behind ST bus stand Phulumbri Pin-431111,,431111,FALSE,FALSE,PHL/KAN,West,Aurangabad_Gngapr_H,72e7e403-e6c8-49f5-a367-fc1b1896958d
INORAOTB,Angul_Turanga_D,Angul_Turanga_D (Orissa),Angul,DC,OnBoarding,East,Orissa,India,20.842802,85.13481,b700d2dd-a53c-469f-938d-266261acf258,"Turanga, Angul, Odisha 759123",8368975425,759123,FALSE,TRUE,ANG/URA,East,Bhubaneshwar_Central_H_6,63b85367-4bfe-40a1-ac62-e2360b5e90d3
IND752111AAA,Konark_RadhaDPP_D,Konark_RadhaDPP_D (Orissa),Konark,DC,Inactive,East,Orissa,India,19.89126,86.09327,a8a1a142-8ece-4229-978a-07a46dcaac8e,"plot no- -297, Near BY BUS Stand , Opposite OF Radhakanta Lodge , Konark, Konark, Odisha 752111",,752111,FALSE,TRUE,BBS/RAD,East,Bhubaneshwar_Central_H_6,63b85367-4bfe-40a1-ac62-e2360b5e90d3
INKLARVS,Payyanur_Olayambadi_DPP,Payyanur_Olayambadi_DPP (Kerala),Payyanur,DC,Active,South,Kerala,India,12.194333,75.33102,a5afc0b1-8f14-46c6-bd54-33014c10718b,"Bilay complex, Odamutt, madakkampoyil Peringome P O 670306 Kannur Kerala",,670306,FALSE,TRUE,PAY/OLA,South,Kannur_Chalode_I,0d4e1ca2-bb77-4ad6-a5dc-b521de0320f8
IN380058A1C,Bopal_Shela_D,Bopal_Shela_D (Gujarat),Ahmedabad,DC,Inactive,West,Gujarat,India,23.035967,72.46185,10bb9d23-ea9b-4fb5-b9ed-7669ecbeab75,"Shop No- 9, Pooja Residency, behind Bopal Nagarpalika, Village: Bopal, Taluka: Daskroi, Ahmedabad, Gujarat -380058",8238719679,380058,TRUE,TRUE,BPL/SHL,West,Ahmedabad_AslaliRoad_I,4f2ad940-6d1d-4bfb-bbca-99ba1568d731
IN110095A1D,Delhi_Jhilmil_D,Delhi_Jhilmil_D (Delhi),Delhi,DC,Inactive,North,Delhi,India,28.675402,77.31218,83cfcef3-7a27-43a0-8997-97d2eee4705d,"B-3/1, Jhilmil Industrial Area, TA Hirpur DSIDC Complex Gate No 2, Delhi 110095",8882566137,110095,FALSE,TRUE,DLH/JHI,North,Delhi_Patparganj_DPC,8775c382-b62d-4b05-80bc-f1d2f75933b4
INMPAAJM,Agar_Tanodiya_D,Agar_Tanodiya_D (Madhya Pradesh),Agar,DC,Inactive,West,Madhya Pradesh,India,23.437647,75.87636,23e63b20-19bb-4af1-aeec-dff96783bc6d,"Vill. Tanodia Post Tanodia, Teh. Agar,Dist.Agar Malwa, Shajapur, Madhya Pradesh 465441",8529687681,465441,FALSE,TRUE,AGR/TND,West,Indore_Manglaya_H,096041a0-d9b1-4161-9adb-94b7b675ea02
